"AALTER","5,0%","","51.0953 3.4473","Aalter"
"LIEVEGEM","4,9%","","51.125 3.561","Lievegem"
"AUDENARDE","6,7%","","50.8535 3.6209","Oudenaarde"
"RENAIX","13,9%","","50.7496 3.6077","Ronse"
"BRAKEL","4,8%","","50.797 3.749","Brakel"
"KLUISBERGEN","4,1%","","50.7845 3.5385","Kluisbergen"
"WORTEGEM-PETEGEM","4,8%","","50.8485 3.5276","Wortegem-Petegem"
"HOREBEKE","3,8%","","50.8322 3.6946","Horebeke"
"LIERDE","5,5%","","50.8054 3.8364","Lierde"
"MAARKEDAL","4,1%","","50.7952 3.641","Maarkedal"
"ZWALM","4,0%","","50.8772 3.7239","Zwalm"
"KRUISEM","4,3%","","50.9081 3.561","Kruisem"
"BEVEREN","6,0%","","51.26 4.236","Beveren"
"KRUIBEKE","6,3%","","51.1578 4.2918","Kruibeke"
"LOKEREN","8,1%","","51.1134 3.9615","Lokeren"
"SINT-GILLIS-WAAS","6,4%","","51.2298 4.1189","Sint-Gillis-Waas"
"SAINT-NICOLAS, Flandre-Orientale","11,6%","","51.1648 4.1087","Sint-Niklaas"
"STEKENE","5,5%","","51.2123 4.0285","Stekene"
"TAMISE","8,7%","","51.1385 4.207","Temse"
"ATH","8,5%","","50.6395 3.7729","Aat"
"BELOEIL","8,1%","","50.5326 3.6886","Beloeil"
"BERNISSART","11,1%","","50.4785 3.6515","Bernissart"
"BRUGELETTE","7,5%","","50.6021 3.8672","Brugelette"
"CHIEVRES","7,3%","","50.5712 3.784","Chièvres"
"ELLEZELLES","6,5%","","50.729 3.683","Elzele"
"FLOBECQ","7,7%","","50.7535 3.7316","Vloesberg"
"FRASNES-LEZ-ANVAING","6,6%","","50.6823 3.6007","Frasnes-lez-Anvaing"
"ENGHIEN","8,7%","","50.6725 4.0025","Edingen"
"SILLY","5,8%","","50.6425 3.9285","Opzullik"
"LESSINES","10,8%","","50.7125 3.8331","Lessen"
"CHAPELLE-LEZ-HERLAIMONT","11,9%","","50.4626 4.2876","Chapelle-lez-Herlaimont"
"CHARLEROI","24,2%","","50.421 4.4345","Charleroi"
"CHATELET","18,7%","","50.3972 4.5224","Châtelet"
"COURCELLES","14,5%","","50.4725 4.3411","Courcelles"
"FARCIENNES","23,3%","","50.4344 4.547","Farciennes"
"FLEURUS","13,2%","","50.4862 4.5392","Fleurus"
"FONTAINE-L'EVEQUE","14,3%","","50.4073 4.3218","Fontaine-l’Evêque"
"GERPINNES","8,0%","","50.347 4.5265","Gerpinnes"
"MONTIGNY-LE-TILLEUL","7,4%","","50.3763 4.3711","Montigny-le-Tilleul"
"PONT-A-CELLES","7,5%","","50.5155 4.3545","Pont-à-Celles"
